Question,Agent Bucket,Tool Bucket,Advisory Bucket,Response Quality,,Second Pass,CoPilot Screen,Gitanjali,Oscar
Can the customer provide the resource name as it appears in the usage report?,Agent:DDoSAdvisory,,Billing,NeedsAdditionalContext,,,no,,
What is the current resolution status of the billing issue?,Agent:DDoSAdvisory,,Billing,NeedsAdditionalContext,,,yes,,
Are there any relevant links or documentation related to the billing or credit request that can assist in resolving the issue?,Agent:DDoSAdvisory,,Billing,NeedsAdditionalContext,,,no,,
What are the cost details for enabling the DDOS protection plan for one public IP serving global VPN traffic?,Agent:DDoSAdvisory,,Billing,NeedsPromptImprovement,,Advisory,yes,,
What is the impact of enabling the DDOS protection function on the service?,Agent:DDoSAdvisory,,Functionality,Good,,Advisory,yes,,
"How does the DDOS protection mechanism handle high packet rates, particularly for ESP protocol traffic?",Agent:DDoSAdvisory,,VPNGateway,Good,,Advisory,yes,,
What is the logic behind how DDOS calculates the threshold for mitigation?,Agent:DDoSAdvisory,,Functionality,Good,,Advisory,yes,,
How does the adaptive real-time tuning and intelligent traffic profiling work to adjust the DDOS protection profile over time?,Agent:DDoSAdvisory,,Functionality,Good,,Advisory,yes,,
Is the diagnostic settings configuration for the DDoS Protection Plan or associated public IP correctly set up to enable log collection?,Agent:DDoSAdvisory,Tool:ResourceState,LogAndAttackAnalysis,Good,,,yes,,
Are the diagnostic logs enabled and configured to send data to a valid workspace?,Agent:DDoSAdvisory,Tool:ResourceState,LogAndAttackAnalysis,Good,,,yes,,
"Have the appropriate log categories been selected, specifically DDoSProtectionNotifications, DDoSMitigationFlowLogs, and DDoSMitigationReports?",Agent:DDoSAdvisory,Tool:ResourceState,LogAndAttackAnalysis,Good,,,yes,,
"Are you able to view source IP addresses that are under the threshold during normal operation, or only during or after a DDoS attack?",Agent:DDoSAdvisory,,LogAndAttackAnalysis,NeedsPromptImprovement,,,yes,,
Have you considered performing a DDoS simulation test to observe how your environment responds and to verify log visibility during an attack?,Agent:DDoSAdvisory,,AttackSimulation,Good,,Advisory,yes,,
Are there any restrictions or requirements for hosting the penetration testing machines within the environment?,Agent:DDoSAdvisory,,AttackSimulation,Good,,Advisory,yes,,
What are the rules of engagement and terms of use that must be followed for penetration testing in this environment?,Agent:DDoSAdvisory,,AttackSimulation,Good,,Advisory,yes,,
"The customer inquired whether the DDoS Protection service can fully defend against extremely large-scale attacks on the order of tens of terabits per second, and whether other resources might be impacted as a result.",Agent:DDoSAdvisory,,Functionality,Good,,Advisory,yes,,
The customer asks whether they are impacted by the DDoS protection alert triggered for an external load balancer IP address.,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Could you please share the error screenshot you receive when attempting to delete the subscription?,NotApplicable,,,,Unknown resource issue,,,,
Can you provide the subscription ID where the virtual network (VNet) is configured?,Agent:DDoSScoping,,ResourceCoverage,NeedsAdditionalContext,,Scoping,yes,,
Where is the VNet configured that is linked to the DDoS protection plan?,Agent:DDoSAdvisory,Tool:ResourceState,ResourceCoverage,NeedsAdditionalContext,,,yes,,
"Does enabling the higher-level DDoS Network Protection cost $2,944 per month?",Agent:DDoSAdvisory,,Billing,Good,,Advisory,yes,,
"In a scenario where the higher-level DDoS protection is disabled, would the alternative protection help mitigate DDoS attacks targeting the web app services and Function Apps?",Agent:DDoSAdvisory,,BasicVsStandard,Good,,,yes,,
Do all four recommended test partners require purchasing a license to use their products for DDoS simulation testing?,Agent:DDoSAdvisory,,AttackSimulation,NeedsPromptImprovement,,Advisory,yes,,
Is it expected behavior for the protection system to generate alerts originating from a specific IP address?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
"Can the customer confirm how the IP prefix is allocated, given it is not visible in the expected resource or gateway?",,Tool:ResourceState,ResourceCoverage,NeedsAdditionalContext,,,,,
"Are the alerts being received false positives, or do they reflect actual threat activity?",Agent:DDoSIncident,Tool:AttackDetection,LogAndAttackAnalysis,NeedsAdditionalContext,,,,,
What are the source IP addresses responsible for the mitigated connections during the DDoS events?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Can the customer provide fully qualified domain names (FQDNs) associated with the traffic causing the alerts?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Is it possible for the customer’s network administrators to implement rules to inspect and log the FQDNs related to the suspicious traffic?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
What specific source IP addresses are causing the traffic spikes observed on the NAT gateway and related appliances?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Is there a concern about DDOS protection?,NotApplicable,,,,,,,,
Has the customer reviewed the shared documentation regarding DDOS?,,,Functionality,Good,,,yes,,
Can the case be closed based on the customer's confirmation?,NotApplicable,,,,,,,,
Can you provide the exact timestamp when the attack occurred?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Could you share packet capture data or any internal data related to the attack for further analysis?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
"Is the traffic legitimate, or does the customer want to increase the DDoS limit?",Agent:DDoSIncident,Tool:DetectionTuning,,,,,,,
Can the customer confirm validation of the IP address identified as the source of most packets exceeding the threshold?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
"Are the observed packet rates exceeding the previously set thresholds, and is the updated threshold of 150K appropriate for monitoring?",Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
"The customer asked for clarification on why certain IP addresses were being requested to be blocked, given the context of a DDoS attack.",Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
"The customer inquired whether the IP addresses they were trying to block were legitimate, as blocking them caused some of their services to stop running.",Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
The customer requested a reputation assessment and confirmation of the flagged IP addresses based on the support team's telemetry or monitoring tools.,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
The customer sought a definitive statement on whether the IP addresses in question have a good reputation or not.,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
"The support engineer asked the customer to provide any evidence from third-party websites showing bad reputation for the IPs, so they could investigate further internally.",Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
What changes when a public IP address is added to a DDoS Protection Plan?,Agent:DDoSAdvisory,,ResourceCoverage,Good,,Advisory,yes,,
Can users define their own criteria for identifying DDoS attacks?,Agent:DDoSAdvisory,,Functionality,Good,,Advisory,yes,,
Can I manually configure the DDoS policy applied to the VNets/Public IPs?,Agent:DDoSAdvisory,,Functionality,Good,,Advisory,yes,,
Can I allowlist or blocklist specific IP addresses?,Agent:DDoSAdvisory,,WhitelistBlacklist,Good,,Advisory,no,,
The customer inquired about DDoS protection plans and issues related to DDoS dependencies.,NotApplicable,,,,Generic,,,,
"The customer sought clarification on the reason for using a specific service in the application gateway, firewall, and related components.",NotApplicable,,,,"Other resources, not specific",,,,
The customer asked about the necessity of certain services for the application gateway.,NotApplicable,,,,"Other resources, not specific",,,,
There were questions regarding how enabling DDoS protection on the virtual network where the firewall resides helps during volumetric attacks.,Agent:DDoSAdvisory,,AzureFIrewall,Good,,,no,,
"The customer requested information on recommendations for enabling protection on application gateways, especially when deployed with public IP addresses.",Agent:DDoSAdvisory,,AppGWandWAF,Good,Other resources,,no,Good,Good
The customer sought details about the features of the newer SKU versions of the application gateway that include mitigation capabilities against attacks.,Agent:DDoSAdvisory,,AppGWandWAF,Good,Other resources,,no,NeedsPromptImprovement,NeedsAdditionalContext
The support engineer asked if the customer is trying to verify whether DDOS protection is enabled on the public IP addresses of the specified virtual machines.,Agent:DDoSAdvisory,Tool:ResourceState,ResourceCoverage,NeedsAdditionalContext,,,no,,
The customer inquired whether the frequent DDoS alerts on their public IP address represent actual DDoS attacks or if they are caused by normal traffic fluctuations on the VPN interface.,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
The customer asked if the threshold for triggering DDoS protection could be adjusted to prevent dropping legitimate traffic.,Agent:DDoSIncident,Tool:DetectionTuning,,,,,,,
The support engineer requested the exact threshold value the customer wants to set for the DDoS protection alert.,Agent:DDoSIncident,Tool:DetectionTuning,,,,,,,
"Whether the detected traffic during the DDoS attack is expected, given that similar traffic patterns occurred on previous days at the same times.",Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Why the mitigation process took almost an hour to complete.,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Is it possible to analyze the traffic originating from certain IP addresses to determine if it is caused by an AI agent or bot activity?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
"Does the customer have any automation environments, and if so, can they share the environment ID?",NotApplicable,,,,,,,,
Can the collaboration team provide updates regarding IP triggers from the enabled service on the tenant that have impacted the Azure Web Application Firewall (WAF)?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
The customer asked for clarification about the DDoS feature enabled in their environment and how it was activated.,Agent:DDoSAdvisory,Tool:ResourceState,Billing,NeedsAdditionalContext,,,no,,
The customer expressed concern regarding unexpected charges related to the DDoS Protection Standard plan.,Agent:DDoSAdvisory,Tool:ResourceState,Billing,NeedsPromptImprovement,Billing,,no,,
The customer inquired about the billing details and how charges apply even when no public IPs are associated with the plan.,Agent:DDoSAdvisory,,Billing,Good,Billing,,no,,
The customer sought guidance on how to disable or remove the DDoS Protection plan from the associated virtual network to avoid further charges.,Agent:DDoSAdvisory,,Billing,Good,,,yes,,
"The customer inquired whether there was any Distributed Denial of Service (DDoS) attack detected on a specific public IP address around May 12, 12:45 PM UTC.",Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
"Is the DDoS Protection Plan in another subscription under DDoS mitigation? (1 means yes, 0 or no data means no)",Agent:DDoSAdvisory,Tool:ResourceState,Billing,NeedsAdditionalContext,,,yes,,
What is the appropriate threshold adjustment for the number of packets per second triggering mitigation for the specified IPs?,Agent:DDoSAdvisory,Tool:AttackProfiling,Thresholds,Partial,,,yes,,
"Why were the attacks mitigated on certain days but not on others, despite similar conditions?",Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Can the protection team determine why the attack on a specific day was about eight times more distributed than previous attacks?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
"Is the mitigation working effectively for different types of attack traffic, such as TCP versus SYN flood attacks?",Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
"Why did the mitigation for TCP traffic not activate during the latest attack, even though it was active throughout?",Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Can the protection group explain the differences in traffic spikes and how they relate to mitigation triggers?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Was the threshold adjustment for the application gateway's public IP effective in mitigating the attack?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Can the protection team confirm if the scaling of application gateway instances from 11 to 121 is sufficient to handle the increased traffic?,Agent:DDoSIncident,Tool:AttackProfiling,,,Other resource questions,,,,
"What caused the miscommunication that led to the creation of a new application gateway and public IP instead of scaling the existing one, and has this been resolved?",Agent:DDoSAdvisory,,AppGWandWAF,NeedsAdditionalContext,Other resource questions,,yes,NeedsAdditionalContext,NeedsAdditionalContext
Are the rate limit and geolocation-based rules properly configured and effective in mitigating the attacks?,Agent:DDoSAdvisory,,AppGWandWAF,NeedsAdditionalContext,WAF related,,yes,NeedsAdditionalContext,NeedsAdditionalContext
Can the protection team investigate further to provide insights on the attack patterns and mitigation effectiveness?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
The customer inquired about the potential impact of deleting the DDoS Protection plan associated with a specific virtual network (VNET).,Agent:DDoSAdvisory,,CRUD,Good,,,yes,,
The support engineer clarified whether there were any protected resources currently using the DDoS Protection plan for that VNET.,Agent:DDoSAdvisory,Tool:ResourceState,ResourceCoverage,Good,,,no,,
The customer sought to understand how the DDoS Protection service functions in this context before proceeding with deletion.,Agent:DDoSAdvisory,,Functionality,NeedsAdditionalContext,,,no,,
"The customer asked whether there was any Distributed Denial of Service (DDoS) attack occurring on the IP address, as they were experiencing intermittent session timeouts for applications hosted on the system.",Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
"If the advanced DDoS protection service rules and policies would override the existing internal DDoS rules once enabled, effectively replacing the internal authority with the service.",Agent:DDoSAdvisory,,Functionality,NeedsAdditionalContext,,,no,,
"Whether it is possible to whitelist specific public IP addresses from the internal DDoS service, especially since the customer uses their own DDoS service.",Agent:DDoSAdvisory,,WhitelistBlacklist,Good,,,no,,
"If purchasing the advanced DDoS protection would override the internal DDoS algorithm for IP-based or network protection, or if traffic would still be blocked regardless of the configuration set on the advanced DDoS protection.",Agent:DDoSAdvisory,,Functionality,Good,,,no,,
"Can the customer be notified or receive alerts when traffic is being blocked by the DDoS protection because it was considered compromised, rather than just noticing service disruptions without knowing the cause.",Agent:DDoSAdvisory,,Notifications,Good,,,yes,,
Whether it is possible to create custom queries or monitoring scripts to detect and alert on suspicious or blocked traffic flagged by the DDoS protection.,Agent:DDoSAdvisory,,LogAndAttackAnalysis,Good,,,yes,,
Can the DDoS protection algorithm be edited or customized by the customer to suit their specific network and traffic patterns.,Agent:DDoSAdvisory,,Thresholds,Good,,,yes,,
How to interpret and adjust Kusto queries for monitoring outbound traffic when existing queries are not returning expected data due to schema changes or deprecated columns.,Agent:DDoSAdvisory,,LogAndAttackAnalysis,NeedsAdditionalContext,What kusto?,,yes,,
"Whether the infrastructure-level DDoS protection provides telemetry or alerting features for blocked traffic, and if not, what options exist for monitoring and alerting.",Agent:DDoSAdvisory,,LogAndAttackAnalysis,Good,,,yes,,
How to identify if the customer’s IPs are being blocked by the DDoS protection service due to anomalous traffic patterns.,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
What thresholds and parameters can be adjusted in the DDoS protection service to reduce false positives and avoid legitimate traffic being flagged as attacks.,Agent:DDoSAdvisory,,Thresholds,Partial,,,yes,,
Is HTTP/2 traffic expected for this customer? Is it acceptable to disable HTTP/2?,NotApplicable,,,,,,,,
Is there any traffic expected from a specific proxy or service?,NotApplicable,,,,,,,,
Are there any User Defined Routes (UDRs) or conflicts on the application subnet?,NotApplicable,,,,,,,,
"Can the current application gateway configuration handle the traffic load, including throughput, requests per second, connection count, and other performance metrics?",Agent:DDoSAdvisory,,AppGWandWAF,Good,Other resources,,yes,Good,NeedsAdditionalContext
"Can the customer test the DDoS protection using simulations or tools, and is internal testing available?",Agent:DDoSAdvisory,,AttackSimulation,Good,,,yes,,
"Can the customer get actual client information in the application gateway access logs, especially regarding header information?",Agent:DDoSAdvisory,,AppGWandWAF,NeedsAdditionalContext,other resources,,yes,NeedsPromptImprovement,NeedsPromptImprovement
Why did the DDoS protection policy not trigger earlier to block the attack traffic before it reached the application gateway?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
"What are the differences in monitoring charts during the attack period, and are the reports accurate given the scaling and downtime?",Agent:DDoSAdvisory,,Metrics,Good,,,yes,,
Can the same DDoS protection threshold adjustments be applied to other IP addresses or resources within the tenant?,Agent:DDoSAdvisory,Tool:DetectionTuning,Thresholds,Partial,,,yes,,
Is the application gateway autoscale configuration optimized to prevent cascading failures during scaling events?,Agent:DDoSAdvisory,,AppGWandWAF,NeedsAdditionalContext,Other resources,,yes,Partial,NeedsAdditionalContext
Can an architecture review and recommendations be provided to improve protection against DDoS attacks?,Agent:DDoSAdvisory,,ArchitectureAdvice,NeedsPromptImprovement,,,yes,,
"Are the current DDoS protection thresholds appropriate for blocking Layer 7 HTTP flood attacks, and how can they be tuned?",Agent:DDoSAdvisory,,AppGWandWAF,Good,,,yes,Good,Good
What is the impact of disabling auto-tuning on the DDoS protection policy in relation to autoscale settings?,Agent:DDoSAdvisory,,Thresholds,Partial,,,yes,,
How can the customer validate that the application gateway is sufficiently configured to handle legitimate and attack traffic without breaching thresholds?,Agent:DDoSAdvisory,,AppGWandWAF,Good,Other resources,,yes,Good,Good
Is it possible to analyze attack vectors on backend virtual machines and apply similar threshold protections?,Agent:DDoSAdvisory,,ResourceCoverage,NeedsPromptImprovement,,,yes,,
"Can the customer safely switch traffic back to the application gateway with standby support, and what precautions should be taken?",Agent:DDoSAdvisory,,AppGWandWAF,NeedsAdditionalContext,Other resources,,yes,NeedsAdditionalContext,NeedsAdditionalContext
What is the recommended minimum instance count for the application gateway to handle DDoS mitigation effectively?,Agent:DDoSAdvisory,,AppGWandWAF,Good,Other resources,,yes,Good,Good
Are there any conflicts with BGP routes or other network configurations that could affect traffic flow or protection?,Agent:DDoSAdvisory,,UDR,Partial,Other resources,,yes,,
Can geo-blocking or traffic filtering rules be configured to mitigate attack traffic effectively?,Agent:DDoSAdvisory,,AppGWandWAF,Good,Other resources,,yes,Good,Good
How can the customer monitor and interpret 4xx errors during the attack period to understand if they originate from the application gateway or backend?,Agent:DDoSAdvisory,,AppGWandWAF,Good,Other resources,,yes,Good,Good
Can specific IP addresses be allowed or blocklisted for DDoS alerts?,Agent:DDoSAdvisory,,WhitelistBlacklist,Partial,,,yes,,
Is there any planned solution or workaround to allow or block IP addresses for DDoS alerts?,Agent:DDoSAdvisory,,WhitelistBlacklist,Good,,,yes,,
How are the DDoS alerts generated?,Agent:DDoSAdvisory,,Notifications,Good,,,no,,
How did the team determine that this is a false positive attack?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Why are there multiple alerts daily for the same resources over the past week?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Could these repeated alerts be false positives?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Request for assistance in confirming the source and reason behind the detected DDoS attack.,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Inquiry about identifying who is responsible for the attack and why it is occurring.,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Clarification sought on the destinations sending large amounts of return traffic during the mitigation.,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Questions regarding the confirmation of source IPs involved in the attack.,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Requests for verification of the nature and type of traffic passing during mitigation.,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
"Assistance needed to analyze traffic patterns, including SYN packets observed during mitigation.",Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Inquiry about the effectiveness of current mitigation thresholds and whether they are adequate.,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Requests to review top offending IPs or traffic sources for potential blacklisting by the customer's security team.,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
"The customer inquires about the resources associated with the IP addresses receiving DDoS alerts, specifically asking about the resources these alerts are attached to.",Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
"The support engineer questions the origin and nature of the suspected DDoS-type traffic, noting that the resource generating the traffic has been deleted and thus limiting further investigation.",Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
The customer seeks clarification on why the alerts are appearing despite the deletion of the associated resources and how to locate logs corresponding to the alert timestamps.,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
"The support engineer explains the behavior of the mitigation process, clarifying that mitigation does not necessarily mean traffic is dropped but that traffic is inspected for malicious activity, and asks if this explanation helps resolve the customer's concerns.",Agent:DDoSAdvisory,,Functionality,Good,,,no,,
"What are the threshold values for the protection system, UDP, and other protocols that trigger notifications?",Agent:DDoSAdvisory,Tool:DetectionTuning,Thresholds,Partial,,,yes,,
"Were these threshold values changed on June 22, 2025, and if so, how can they be reverted back?",Agent:DDoSAdvisory,Tool:DetectionTuning,Thresholds,NeedsAdditionalContext,,,yes,,
What protocols or settings can be applied to set these threshold values to avoid excessive alert noise?,Agent:DDoSAdvisory,Tool:DetectionTuning,Notifications,NeedsPromptImprovement,,,no,,
The customer inquired about the protection and monitoring capabilities of the DDoS Protection service.,Agent:DDoSAdvisory,,Functionality,Good,,,no,,
"The customer reported receiving spam from two IP addresses and questioned the effectiveness of the DDoS protection they had set up for their virtual network, noting it did not work for a specific network layer.",Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
The support provided clarification on which resources are supported by the DDoS protection.,Agent:DDoSAdvisory,,ResourceCoverage,Good,,,no,,
Guidance was given on how to protect against Layer 7 (application layer) attacks using firewall services and filtering options.,Agent:DDoSAdvisory,,AzureFirewall,Good,,,no,,
The customer sought advice on mitigating Layer 7 attacks to maintain business-critical application availability.,Agent:DDoSAdvisory,,AzureFirewall,Good,,,,,
The support explained the necessity of combining standard DDoS protection with additional services for multi-layer protection.,Agent:DDoSAdvisory,,Functionality,Good,,,,,
Recommendations were made regarding identifying source IPs and using network security groups to block malicious traffic.,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
"Suggestions were provided for long-term protection strategies, including geo-filtering to block traffic from certain countries and reducing origin server load by leveraging content delivery points.",Agent:DDoSAdvisory,,AppGWandWAF,Good,,,,NeedsAdditionalContext,NeedsAdditionalContext
The customer was informed about service credits and scaling features available under the standard protection plan for documented attacks.,Agent:DDoSAdvisory,,Billing,Good,,,,,
The customer inquired about the process for upgrading from Basic SKU resources to Standard SKU to enable IP-based protection.,Agent:DDoSAdvisory,,ResourceCoverage,Good,,,,,
"The customer asked for clarification regarding the support scope during the migration, specifically about assistance for multiple IPs and load balancers.",NotApplicable,,,,,,,,
The customer sought explanations on the upgrade steps and requested demonstration materials to understand the procedure better.,NotApplicable,,,,,,,,
The customer questioned the scheduling of downtime required for the upgrade and how to coordinate it with support standby assistance.,NotApplicable,,,,,,,,
"The customer raised queries related to the load balancer upgrade, including configuration details and validation of backend health post-upgrade.",NotApplicable,,,,,,,,
"The customer needed confirmation on the successful upgrade of public IPs and load balancers and any necessary post-upgrade checks, such as resource locks removal and validation of NAT rules or backend VM scale set policies.",NotApplicable,,,,,,,,
When was the DDoS protection plan implemented and when did you first notice the overcharges?,Agent:DDoSAdvisory,,Billing,NeedsAdditionalContext,,,,,
Are the AVD machines protected by this DDoS plan?,Agent:DDoSAdvisory,Tool:ResourceState,ResourceCoverage,Good,,,,,
Can you provide any of your AVD resource names as referenced in your environment?,Agent:DDoSAdvisory,Tool:ResourceState,ResourceCoverage,Good,,,,,
Is this DDoS protection plan implemented on the virtual network (VNet) or on individual public IP addresses?,Agent:DDoSAdvisory,,ResourceCoverage,Good,,,,,
Would you like to consider increasing the DDoS protection thresholds for the affected public IP to prevent false alerts and service interruptions in the future?,Agent:DDoSAdvisory,,Thresholds,Partial,,,,,
Whether DDoS Protection is required given that infrastructure-level DDoS mitigation is already implemented in the environment.,Agent:DDoSAdvisory,,BasicVsStandard,Good,,,,,
"Clarification on the impact of DDoS attacks on public services like Azure Functions, specifically regarding automatic scaling and service continuity during sudden traffic spikes.",Agent:DDoSAdvisory,,AzureFunctions,Good,,,,,
"The customer asked for assistance regarding the appropriate protection tier for distributed denial-of-service (DDoS) mitigation, specifically about which tier to choose based on the number of IP addresses they have.",Agent:DDoSAdvisory,,BasicVsStandard,Good,,,,,
The support engineer asked if the customer had taken any actions to mitigate the DDoS attack.,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
The support engineer requested the customer to check the traffic spikes.,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
The support engineer suggested gathering necessary information including screenshots during a call.,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Are there any updates or new information regarding the ongoing DDoS attack on the resource?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Is there any misunderstanding or clarification needed concerning the details of the attack or mitigation steps?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Can the customer confirm if the resource is still experiencing issues related to the DDoS attack?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Are there any specific concerns or questions about the mitigation measures that have been implemented?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Has the customer observed any unusual traffic patterns or spikes that align with the reported attack timeline?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Is the customer able to provide additional data or logs that might assist in further analysis of the attack?,Agent:DDoSIncident,Tool:AttackDetection,,,was the attack targeted at azure resources?,,,,
Are there any indications of the attack originating from particular IP addresses or regions that the customer has noticed?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Does the customer require further assistance in monitoring or protecting the resource against future attacks?,NotApplicable,,,,,,,,
The customer inquired about any service disruptions or outages related to their subscriptions amid the cyberattack.,Agent:DDoSIncident,,,Affects on other resources,,,,,
The customer requested updates on ongoing monitoring and escalation status concerning the threat group.,Agent:DDoSIncident,,,Affects on other resources,,,,,
The support engineer checked resource details to verify if there were any outages on the cloud service side.,Agent:DDoSIncident,,,Affects on other resources,,,,,
The customer sought confirmation from the service provider regarding the absence of issues on their platform.,Agent:DDoSIncident,,,Affects on other resources,,,,,
The support team asked the customer if they required any further technical assistance after confirming system health and normal operations.,NotApplicable,,,,,,,,
Whether the protection mechanism configured on the application gateway is functioning properly in response to multiple malicious IPs hitting the gateway.,Agent:DDoSAdvisory,,AppGWandWAF,Good,,,,Good,Good
Understanding why the customer is experiencing 502 errors when accessing their application through the specified URL.,Agent:DDoSAdvisory,,AppGWandWAF,Good,,,,Good,Good
Investigating if the high volume of requests and suspected protection system is causing issues on the application gateway's public IP.,Agent:DDoSAdvisory,,AppGWandWAF,Good,,,,NeedsAdditionalContext,Good
Determining why the backend server health probes are intermittently timing out.,Agent:DDoSAdvisory,,AppGWandWAF,Good,,,,Good,Good
Exploring the cause of high resource consumption on the backend virtual machine leading to performance degradation and failure to respond to health probes.,Agent:DDoSAdvisory,,AppGWandWAF,Good,,,,Good,Good
Assessing whether the application or the virtual machine is responsible for the high resource usage affecting backend responsiveness.,Agent:DDoSAdvisory,,AppGWandWAF,Good,,,,Good,Good
Why is the customer receiving alerts from DDoS detection?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,Good
How can the customer identify if the alerts they are receiving are true or false positives?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,Good
"Has the customer enabled a protection plan for IP protection, and how is it configured?",Agent:DDoSAdvisory,Tool:ResourceState,,Partial,,,,,Good
Are there any automated bot requests or bot deployments originating from the customer's platform that could be triggering these alerts?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,Good
Can the support engineer confirm if the alerts correspond to actual threats or are mitigated by the protection system?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,Good
Can you help me understand where our configuration is wrong and why we are being charged at the virtual network DDoS protection plan rate rather than the IP protection rate?,Agent:DDoSAdvisory,,Billing,Partial,,,,,
Where is this IP address located? (Referring to a specific public IP resource),NotApplicable,,,,,,,,
Is there currently a way to have a centralized DDoS protection plan deployed in a billing model that allows association only with public IP addresses across subscriptions?,Agent:DDoSAdvisory,,Billing,Good,,,,,
Can a DDoS protection plan be consolidated across subscriptions with centralized billing while associating all public IPs to that plan?,Agent:DDoSAdvisory,,Billing,Good,,,,,
Is there any bad impact on the customer's environment due to the detected attack?,Agent:DDoSIncident,Tool:AttackProfiling,,Outage/impact,,,,,
Can the customer provide more details about the nature of the attack?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
"Is the inbound Deny rule effectively blocking internet traffic to the public IP, or could it be ineffective due to its application scope?",NotApplicable,,,,,,,,
Can the customer confirm if the load balancer public IP is used for outbound connections only and not allowing inbound traffic?,NotApplicable,,,,,,,,
Can the customer identify the two IP addresses flagged as top talkers during the attack?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Does the customer's cluster connect to an external third-party registry for image updates and patching?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Can the customer confirm if the message about the attack appeared after running image patching or updating image operations in the cluster?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Can the customer verify the discrepancy between IP addresses shown in the platform's mitigation query and the flow log query run on the customer's portal?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
"Are the IP addresses identified as internal control communications for load balancers, or are they related to potential attacks?",Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Can the customer confirm that the traffic volume from certain IPs is legitimate patching and update traffic rather than malicious activity?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
